               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11166,            0.045402,            0.052351,           0.0037348,             0.16667,           0.0028011,          0.00040445,             0.12007,             0.03424,            0.050277,               6e-05,               6e-05,             0.09946
                   1,             0.10568,            0.050291,            0.051543,           0.0049101,             0.33333,           0.0041575,           0.0006621,             0.10983,            0.034801,             0.04762,          0.00012997,          0.00012997,             0.09883
                   2,            0.097645,            0.046397,            0.047454,           0.0083448,            0.041667,           0.0068778,            0.001212,             0.10346,            0.035851,            0.044456,          0.00019982,          0.00019982,              0.0982
                   3,            0.094128,             0.04591,            0.047158,            0.018113,            0.083333,           0.0099654,           0.0011244,            0.098002,            0.037171,             0.04121,          0.00026946,          0.00026946,            0.097569
                   4,             0.08106,            0.048072,            0.042122,            0.022508,               0.125,            0.015232,           0.0018177,              0.0913,            0.038373,            0.038837,          0.00033879,          0.00033879,            0.096939
                   5,             0.08096,            0.059222,            0.041252,            0.059648,             0.16667,            0.050409,           0.0073762,            0.082119,            0.039272,            0.036591,          0.00040773,          0.00040773,            0.096308
                   6,            0.069569,            0.053411,             0.03731,             0.58304,             0.12456,             0.16728,            0.058875,            0.070251,            0.039624,            0.034365,          0.00047617,          0.00047617,            0.095676
                   7,            0.071907,            0.052164,             0.03883,             0.99831,                0.25,              0.2746,             0.11257,             0.06586,            0.038221,            0.031735,          0.00054404,          0.00054404,            0.095044
                   8,            0.065003,            0.055661,            0.036414,             0.91436,                0.25,             0.28931,             0.10147,            0.061311,            0.036159,            0.030246,          0.00061123,          0.00061123,            0.094411
                   9,            0.059002,            0.046017,            0.031933,             0.94441,             0.20822,             0.33874,             0.12398,            0.060327,               0.034,            0.028199,          0.00067767,          0.00067767,            0.093778
                  10,            0.060471,            0.048134,             0.03393,             0.93312,             0.16667,             0.26358,             0.10425,            0.059616,             0.03328,            0.026948,          0.00074326,          0.00074326,            0.093143
                  11,            0.055731,            0.048078,            0.029975,             0.12638,               0.625,             0.30098,             0.13847,            0.056992,            0.034048,            0.025824,          0.00080792,          0.00080792,            0.092508
                  12,            0.051192,               0.045,             0.02834,             0.16443,             0.79167,              0.3515,             0.17639,            0.055639,            0.034208,            0.025039,          0.00087156,          0.00087156,            0.091872
                  13,            0.050721,            0.041043,            0.027552,             0.19985,             0.76245,             0.35089,             0.18617,            0.056933,            0.032182,            0.024197,           0.0009341,           0.0009341,            0.091234
                  14,             0.05178,            0.045454,            0.027308,             0.27865,             0.69927,             0.45859,             0.25403,            0.055237,            0.031053,            0.023227,          0.00099546,          0.00099546,            0.090595
                  15,             0.04875,            0.039933,            0.026767,             0.71992,             0.60132,             0.61222,             0.24472,             0.05669,              0.0311,            0.022716,           0.0010556,           0.0010556,            0.089956
                  16,            0.048434,            0.040356,            0.025879,             0.75038,               0.625,             0.59317,             0.15632,            0.054826,             0.03076,            0.022207,           0.0011143,           0.0011143,            0.089314
                  17,            0.048472,            0.037369,             0.02508,             0.83618,               0.625,             0.70389,             0.40313,              0.0483,            0.029012,            0.020775,           0.0011717,           0.0011717,            0.088672
                  18,            0.046244,            0.037802,            0.022992,             0.87221,             0.58332,             0.67595,             0.28894,            0.049918,            0.028556,            0.020105,           0.0012275,           0.0012275,            0.088028
                  19,            0.046347,            0.036962,            0.023751,             0.83046,             0.54167,             0.64936,             0.21684,            0.056383,            0.028051,            0.019379,           0.0012818,           0.0012818,            0.087382
                  20,            0.041887,            0.032404,            0.020548,             0.77929,             0.54167,             0.60904,              0.1541,            0.060116,            0.027479,            0.018318,           0.0013345,           0.0013345,            0.086735
                  21,            0.046409,            0.033671,            0.020798,             0.94615,             0.57252,             0.65686,             0.29667,            0.046545,            0.027532,            0.018154,           0.0013855,           0.0013855,            0.086086
                  22,            0.044606,            0.035134,            0.021893,             0.87332,             0.54167,             0.64835,             0.36132,            0.047308,            0.027172,             0.01774,           0.0014348,           0.0014348,            0.085435
                  23,            0.040478,            0.031174,            0.018438,             0.64759,             0.54167,             0.44765,             0.12514,            0.051971,            0.026538,            0.017223,           0.0014822,           0.0014822,            0.084782
                  24,            0.049572,            0.032114,            0.017609,             0.68461,             0.54047,             0.39714,             0.24829,            0.065961,            0.025176,            0.016471,           0.0015278,           0.0015278,            0.084128
                  25,            0.053798,              0.0308,            0.017731,             0.84424,             0.52713,             0.54985,             0.18271,            0.061155,             0.02555,            0.016218,           0.0015714,           0.0015714,            0.083471
                  26,            0.052241,            0.029471,            0.018308,             0.91455,             0.54167,              0.7526,             0.33657,            0.049136,             0.02608,            0.016213,           0.0016131,           0.0016131,            0.082813
                  27,            0.053506,            0.030139,            0.017731,             0.75959,             0.54167,             0.58005,             0.15568,            0.063505,            0.023901,            0.015039,           0.0016528,           0.0016528,            0.082153
                  28,            0.052708,            0.030907,            0.015626,             0.86078,                 0.5,             0.68018,             0.38137,            0.054823,            0.025112,             0.01412,           0.0016904,           0.0016904,             0.08149
                  29,            0.051394,            0.029506,             0.01457,             0.98316,             0.48218,             0.70266,             0.37635,            0.054056,            0.025216,            0.013293,           0.0017259,           0.0017259,            0.080826
                  30,            0.049034,            0.029004,            0.015321,             0.94074,                 0.5,             0.90139,              0.3707,            0.051931,            0.025752,            0.012521,           0.0017593,           0.0017593,            0.080159
                  31,            0.047731,            0.023838,            0.014564,              0.4144,             0.95362,              0.5989,             0.16996,            0.055075,            0.024764,            0.012133,           0.0017906,           0.0017906,            0.079491
                  32,            0.050501,            0.029484,            0.014065,              0.4659,             0.95285,             0.70252,             0.33323,            0.058446,            0.024011,            0.011593,           0.0018196,           0.0018196,             0.07882
                  33,            0.048149,             0.02975,            0.013387,             0.82497,             0.54167,             0.65062,             0.16523,            0.057102,            0.025262,            0.010562,           0.0018464,           0.0018464,            0.078146
                  34,            0.049479,            0.028553,            0.014413,              0.4318,             0.91667,             0.85902,             0.31255,             0.05469,             0.02439,            0.010144,            0.001871,            0.001871,            0.077471
                  35,            0.050643,            0.030409,            0.012951,             0.32745,             0.58333,             0.49338,             0.24787,            0.064119,            0.024223,            0.010156,           0.0018933,           0.0018933,            0.076793
                  36,             0.05426,            0.024968,            0.011649,             0.53772,             0.91502,             0.72721,             0.34831,            0.053639,            0.024233,            0.010425,           0.0019133,           0.0019133,            0.076113
                  37,            0.044822,            0.026209,            0.010724,             0.98479,             0.47869,             0.85569,             0.19729,            0.054427,            0.024391,            0.010012,           0.0019311,           0.0019311,            0.075431
                  38,            0.043858,            0.024829,            0.010495,             0.98994,             0.54167,             0.82933,               0.393,            0.051013,            0.025048,            0.009425,           0.0019466,           0.0019466,            0.074747
                  39,            0.046897,            0.028261,            0.010281,             0.47989,               0.875,             0.65458,             0.31393,            0.049056,            0.025195,           0.0092225,           0.0019598,           0.0019598,             0.07406
                  40,             0.04618,            0.031324,            0.010025,             0.60469,             0.87483,             0.74972,             0.31839,            0.044435,             0.02518,           0.0092549,           0.0019707,           0.0019707,            0.073371
                  41,            0.044534,            0.025939,           0.0096118,             0.47514,              0.8669,             0.62529,             0.20547,            0.057759,            0.023132,           0.0094864,           0.0019793,           0.0019793,            0.072679
                  42,            0.049679,            0.029195,           0.0090736,             0.57546,               0.875,             0.67785,             0.34436,            0.050588,            0.024046,           0.0094294,           0.0019857,           0.0019857,            0.071986
                  43,            0.045413,            0.026953,           0.0084721,             0.34582,               0.875,              0.5902,              0.3097,            0.058894,            0.024115,           0.0089837,           0.0019899,           0.0019899,             0.07129
                  44,            0.050744,             0.02599,           0.0086479,             0.55845,             0.90511,             0.65525,              0.2814,            0.051638,            0.024069,           0.0084978,           0.0019918,           0.0019918,            0.070592
                  45,             0.04507,            0.024877,           0.0086517,             0.53645,             0.90856,             0.63925,             0.25739,            0.056539,            0.024376,            0.008308,           0.0019915,           0.0019915,            0.069891
                  46,            0.047415,            0.026165,           0.0072627,             0.61185,             0.90536,              0.6897,             0.35341,            0.051993,            0.024471,           0.0082293,            0.001989,            0.001989,            0.069189
                  47,            0.042895,             0.02249,           0.0096454,             0.34842,             0.91287,             0.54786,             0.24628,            0.064585,            0.022807,           0.0078994,           0.0019844,           0.0019844,            0.068484
                  48,            0.047162,               0.026,           0.0088537,             0.63758,             0.89156,             0.69352,             0.35648,            0.053135,            0.024586,           0.0076375,           0.0019776,           0.0019776,            0.067778
                  49,             0.04621,            0.026805,           0.0071514,             0.45923,             0.88932,             0.58422,             0.33135,            0.054086,            0.024094,           0.0075001,           0.0019688,           0.0019688,            0.067069
                  50,            0.040865,            0.024053,           0.0086771,             0.69163,             0.90803,             0.64886,              0.3325,             0.04462,            0.024302,           0.0071149,            0.001958,            0.001958,            0.066358
                  51,            0.039923,            0.023677,           0.0085158,             0.61487,             0.90503,             0.68768,              0.3331,            0.045665,            0.024028,            0.007463,           0.0019452,           0.0019452,            0.065645
                  52,            0.035582,            0.024704,            0.007961,              0.6399,             0.90365,             0.68894,             0.34488,            0.045526,            0.024515,           0.0072073,           0.0019305,           0.0019305,             0.06493
