               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10454,            0.046513,            0.049356,           0.0019833,            0.041667,           0.0013091,          0.00020687,             0.11024,            0.035514,            0.048045,             0.00024,             0.00024,             0.09784
                   1,               0.094,            0.051831,            0.045721,            0.016415,            0.041667,           0.0075896,           0.0010237,             0.10071,            0.037516,            0.043437,          0.00048956,          0.00048956,             0.09559
                   2,             0.08378,            0.050848,            0.043302,            0.062226,               0.125,            0.042231,            0.012026,             0.09054,            0.039235,            0.038858,          0.00073737,          0.00073737,            0.093337
                   3,            0.073745,             0.05054,             0.03838,             0.94323,             0.20376,             0.19708,            0.066602,            0.077321,            0.038881,            0.032917,          0.00098211,          0.00098211,            0.091082
                   4,            0.065065,             0.04983,            0.036298,             0.93323,             0.16641,             0.22997,            0.090359,            0.063674,            0.036407,            0.030016,           0.0012225,           0.0012225,            0.088822
                   5,            0.058239,            0.050957,            0.032286,             0.94438,             0.20833,             0.28825,             0.10301,            0.059039,            0.033319,            0.028059,           0.0014572,           0.0014572,            0.086557
                   6,            0.053579,            0.045708,            0.030229,             0.22161,               0.625,             0.43479,              0.1266,             0.06049,            0.032904,            0.026926,            0.001685,            0.001685,            0.084285
                   7,            0.056733,            0.039915,             0.02997,             0.19248,             0.62079,             0.39545,             0.16916,            0.062532,            0.029937,            0.023785,           0.0019048,           0.0019048,            0.082005
                   8,            0.050753,            0.045081,            0.026842,             0.78693,               0.625,             0.61705,             0.29496,            0.055623,            0.029123,            0.022257,           0.0021153,           0.0021153,            0.079715
                   9,            0.051448,             0.03749,            0.024804,             0.57751,               0.625,             0.44958,             0.21169,            0.057595,            0.027719,            0.020282,           0.0023156,           0.0023156,            0.077416
                  10,            0.050438,            0.038803,            0.025527,             0.52337,               0.625,             0.28862,             0.12673,            0.059827,            0.028251,             0.01925,           0.0025045,           0.0025045,            0.075105
                  11,            0.053989,            0.037778,            0.022367,             0.78592,             0.58333,             0.63441,             0.39719,            0.059906,            0.026579,             0.01836,           0.0026812,           0.0026812,            0.072781
                  12,            0.055056,             0.03308,            0.019807,             0.59761,             0.58042,             0.39071,             0.22944,            0.064593,            0.025661,            0.017508,           0.0028448,           0.0028448,            0.070445
                  13,            0.055432,            0.032574,            0.020117,             0.63622,             0.54167,             0.42269,             0.16102,              0.0678,            0.024718,            0.016713,           0.0029946,           0.0029946,            0.068095
                  14,            0.057209,            0.033238,            0.019215,              0.6001,             0.54113,              0.4204,             0.17979,            0.063333,            0.025546,            0.015159,           0.0031298,           0.0031298,             0.06573
                  15,            0.053707,            0.030879,            0.017245,             0.90179,             0.53971,             0.65259,             0.38825,            0.061288,             0.02516,            0.013605,           0.0032499,           0.0032499,             0.06335
                  16,            0.053936,            0.032124,            0.015392,             0.81288,             0.54167,             0.70083,             0.33314,            0.051676,            0.025831,            0.012626,           0.0033544,           0.0033544,            0.060954
                  17,            0.050167,            0.029159,            0.013699,             0.82031,             0.44753,             0.55378,              0.2429,            0.070032,            0.024519,            0.011712,           0.0034429,           0.0034429,            0.058543
                  18,            0.064165,            0.027144,            0.013444,             0.29427,             0.95225,             0.69869,             0.24417,             0.06963,            0.023734,            0.011447,           0.0035152,           0.0035152,            0.056115
                  19,            0.060163,            0.029724,            0.015143,             0.30397,             0.91667,             0.60338,             0.27981,            0.060926,            0.025989,            0.010907,           0.0035711,           0.0035711,            0.053671
                  20,            0.059276,             0.02671,            0.012695,             0.41347,             0.90246,             0.71161,             0.24028,            0.074876,            0.024742,            0.011331,           0.0036107,           0.0036107,            0.051211
                  21,            0.060247,            0.027483,            0.011689,              0.4452,             0.91667,             0.72089,             0.28872,            0.066985,            0.023017,            0.012967,           0.0036339,           0.0036339,            0.048734
                  22,             0.05594,            0.029891,            0.012414,             0.27377,              0.9154,             0.49092,             0.26133,            0.062247,            0.023459,            0.014196,            0.003641,            0.003641,            0.046241
                  23,            0.059537,            0.026199,            0.011493,             0.35221,             0.91296,             0.53128,             0.20759,            0.066606,            0.023124,            0.013378,           0.0036323,           0.0036323,            0.043732
                  24,            0.059761,            0.027939,            0.011034,             0.57823,             0.91667,             0.66324,             0.33379,            0.056157,            0.023304,            0.011221,           0.0036083,           0.0036083,            0.041208
                  25,            0.051826,             0.02678,            0.011145,             0.47822,             0.91633,             0.64965,             0.32187,            0.058016,            0.023865,            0.010803,           0.0035695,           0.0035695,             0.03867
                  26,            0.055276,            0.024686,            0.010256,             0.28842,             0.91667,             0.44104,             0.20786,            0.059957,            0.023318,            0.010818,           0.0035166,           0.0035166,            0.036117
                  27,            0.057468,            0.026043,            0.010933,             0.48261,             0.91667,             0.61647,             0.22377,            0.060132,            0.022123,            0.010827,           0.0034503,           0.0034503,             0.03355
                  28,            0.051431,            0.027195,            0.011355,             0.47021,             0.91654,             0.63572,              0.3343,            0.069488,             0.02258,           0.0099031,           0.0033715,           0.0033715,            0.030972
                  29,             0.05556,            0.024636,           0.0098643,             0.48083,             0.91502,             0.87006,             0.45018,            0.062515,            0.022694,            0.010131,           0.0032813,           0.0032813,            0.028381
                  30,            0.051767,             0.02455,           0.0095243,             0.47434,             0.91646,             0.69977,              0.3898,            0.057029,            0.023546,           0.0099334,           0.0031807,           0.0031807,            0.025781
                  31,            0.048286,            0.021196,            0.009993,             0.50351,             0.91667,             0.87337,             0.42366,            0.056596,            0.024084,           0.0099359,           0.0030709,           0.0030709,            0.023171
                  32,            0.050283,            0.027309,           0.0086696,             0.56068,             0.91667,             0.89618,             0.43461,            0.055629,            0.023461,           0.0094999,           0.0029532,           0.0029532,            0.020553
                  33,            0.047199,            0.025307,           0.0089378,             0.57697,               0.875,             0.71544,             0.35766,            0.054029,            0.023699,           0.0093009,            0.002829,            0.002829,            0.017929
                  34,            0.046016,            0.027777,            0.011331,             0.63414,               0.875,             0.74208,             0.42294,              0.0515,            0.023586,           0.0094374,           0.0026996,           0.0026996,              0.0153
                  35,            0.043195,            0.026579,           0.0093494,             0.57742,               0.875,             0.74191,             0.37396,            0.052469,            0.023737,           0.0087654,           0.0025666,           0.0025666,            0.012667
                  36,            0.041435,            0.023607,           0.0085712,             0.51574,             0.91256,             0.72624,             0.39126,            0.050708,             0.02453,             0.00804,           0.0024316,           0.0024316,            0.010032
